1n1;1sym;1n2;1sym;1l;1j;1s;2n1;2sym;2n2;2sym;2l;2j;2s;P;E
5;s;5;s;1;2;1;5;s;65;s;0;1;1;0.00302322;31017
5;s;5;s;1;2;1;5;s;66;s;0;1;1;0.00288399;31018
5;s;5;s;1;2;1;5;s;67;s;0;1;1;0.00275116;31019
5;s;5;s;1;2;1;5;s;68;s;0;1;1;0.00262446;31020
5;s;5;s;1;2;1;5;s;69;s;0;1;1;0.00250359;31021
5;s;5;s;1;2;1;5;s;70;s;0;1;1;0.00238828;31022
5;s;5;s;1;2;1;5;s;71;s;0;1;1;0.00227829;31023
5;s;5;s;1;2;1;5;s;72;s;0;1;1;0.00217336;31024
5;s;5;s;1;2;1;5;s;73;s;0;1;1;0.00207327;31025
5;s;5;s;1;2;1;5;s;74;s;0;1;1;0.00197778;31025
5;s;5;s;1;2;1;5;s;75;s;0;1;1;0.00188669;31026
5;s;5;s;1;2;1;5;s;76;s;0;1;1;0.0017998;31027
5;s;5;s;1;2;1;5;s;77;s;0;1;1;0.00171691;31027
5;s;5;s;1;2;1;5;s;78;s;0;1;1;0.00163784;31028
5;s;5;s;1;2;1;5;s;79;s;0;1;1;0.00156241;31028
5;s;5;s;1;2;1;5;s;80;s;0;1;1;0.00149045;31028
5;s;5;s;1;2;1;5;s;81;s;0;1;1;0.00142181;31029
5;s;5;s;1;2;1;5;s;82;s;0;1;1;0.00135632;31029
5;s;5;s;1;2;1;5;s;83;s;0;1;1;0.00129386;31030
5;s;5;s;1;2;1;5;s;84;s;0;1;1;0.00123427;31030
5;s;5;s;1;2;1;5;s;85;s;0;1;1;0.00117742;31030
5;s;5;s;1;2;1;5;s;86;s;0;1;1;0.0011232;31030
5;s;5;s;1;2;1;5;s;87;s;0;1;1;0.00107147;31031
5;s;5;s;1;2;1;5;s;88;s;0;1;1;0.00102212;31031
5;s;5;s;1;2;1;5;s;89;s;0;1;1;0.00097505;31031
5;s;5;s;1;2;1;5;s;90;s;0;1;1;0.00093014;31031
5;s;5;s;1;2;1;5;s;91;s;0;1;1;0.0008873;31031
5;s;5;s;1;2;1;5;s;92;s;0;1;1;0.00084644;31032
5;s;5;s;1;2;1;5;s;93;s;0;1;1;0.00080745;31032
5;s;5;s;1;2;1;5;s;94;s;0;1;1;0.00077027;31032
5;s;5;s;1;2;1;5;s;95;s;0;1;1;0.00073479;31032
5;s;5;s;1;2;1;5;s;96;s;0;1;1;0.00070095;31032
5;s;5;s;1;2;1;5;s;97;s;0;1;1;0.00066867;31032
5;s;5;s;1;2;1;5;s;98;s;0;1;1;0.00063787;31032
5;s;5;s;1;2;1;5;s;99;s;0;1;1;0.00060849;31032
